Date,Close/Last,Volume,Open,High,Low
02/14/2022,$188.97,259562,$190.00,$190.50,$187.83
02/11/2022,$192.71,230027,$194.45,$196.20,$191.9054
02/10/2022,$194.41,421090,$195.00,$197.30,$194.25
02/09/2022,$201.37,342545,$202.12,$203.9499,$200.39
02/08/2022,$200.32,288557,$200.00,$200.7324,$198.0138
02/07/2022,$197.24,177994,$198.15,$198.41,$196.53
02/04/2022,$196.88,267494,$198.06,$198.2377,$194.77
02/03/2022,$199.53,299111,$199.98,$201.46,$199.24
02/02/2022,$199.66,243681,$198.94,$199.925,$197.8745
02/01/2022,$196.43,333851,$195.25,$196.73,$194.70
01/31/2022,$198.45,418816,$196.00,$198.72,$194.915
01/28/2022,$193.13,274674,$192.00,$193.36,$188.20
01/27/2022,$189.96,336917,$192.466,$193.54,$189.29
01/26/2022,$194.17,537266,$198.48,$198.516,$192.83
01/25/2022,$197.01,433115,$195.00,$198.77,$192.68
01/24/2022,$197.70,546600,$195.40,$197.91,$192.94
01/21/2022,$199.77,363691,$199.18,$200.95,$198.56
01/20/2022,$201.47,282956,$203.57,$204.805,$201.23
01/19/2022,$202.42,562224,$206.61,$206.70,$202.1004
01/18/2022,$207.47,379649,$209.10,$209.49,$207.19
01/14/2022,$210.69,267661,$210.65,$211.2437,$209.16
01/13/2022,$211.37,546959,$211.00,$213.74,$210.3746
01/12/2022,$206.61,511414,$205.00,$207.66,$204.65
01/11/2022,$201.90,255528,$201.30,$201.97,$199.55
01/10/2022,$200.35,379983,$200.98,$201.14,$197.668
01/07/2022,$200.44,371098,$200.68,$201.99,$198.72
01/06/2022,$199.75,422752,$200.63,$200.80,$196.18
01/05/2022,$196.95,555709,$199.80,$201.3382,$196.85
01/04/2022,$199.19,1057316,$193.08,$201.43,$192.32
01/03/2022,$186.29,353619,$186.81,$187.4632,$185.16
12/31/2021,$185.30,189931,$184.45,$186.15,$184.34
12/30/2021,$184.08,123177,$184.27,$184.7272,$183.71
12/29/2021,$183.68,117855,$184.26,$184.599,$182.85
12/28/2021,$184.75,113648,$185.91,$186.37,$184.64
12/27/2021,$185.90,197052,$184.01,$186.2796,$184.01
